geoid,year,measure,value,moe,region_type
11001005202,2019,gender_total_count_geo20,5855.0,,tract
11001005203,2019,gender_total_count_geo20,5855.0,,tract
11001005302,2019,gender_total_count_geo20,5118.0,,tract
11001005303,2019,gender_total_count_geo20,5118.0,,tract
11001005501,2019,gender_total_count_geo20,6609.0,,tract
11001005502,2019,gender_total_count_geo20,6609.0,,tract
11001005503,2019,gender_total_count_geo20,6609.0,,tract
11001006400,2019,gender_total_count_geo20,2834.0,,tract
11001006700,2019,gender_total_count_geo20,4424.0,,tract
11001006801,2019,gender_total_count_geo20,2454.0,,tract
11001006802,2019,gender_total_count_geo20,2578.0,,tract
11001006900,2019,gender_total_count_geo20,2699.0,,tract
11001007406,2019,gender_total_count_geo20,3809.0,,tract
11001007603,2019,gender_total_count_geo20,4214.0,,tract
11001007604,2019,gender_total_count_geo20,4189.0,,tract
11001007605,2019,gender_total_count_geo20,4256.0,,tract
11001007703,2019,gender_total_count_geo20,7050.0,,tract
11001007707,2019,gender_total_count_geo20,4748.0,,tract
11001007803,2019,gender_total_count_geo20,4354.0,,tract
11001007804,2019,gender_total_count_geo20,4220.0,,tract
11001007806,2019,gender_total_count_geo20,2480.0,,tract
11001007809,2019,gender_total_count_geo20,3111.0,,tract
11001007901,2019,gender_total_count_geo20,4692.0,,tract
11001007903,2019,gender_total_count_geo20,2002.0,,tract
11001008001,2019,gender_total_count_geo20,3144.0,,tract
11001008002,2019,gender_total_count_geo20,3397.0,,tract
11001008100,2019,gender_total_count_geo20,3374.0,,tract
11001008200,2019,gender_total_count_geo20,3172.0,,tract
11001008301,2019,gender_total_count_geo20,2601.0,,tract
11001008302,2019,gender_total_count_geo20,2946.0,,tract
11001008402,2019,gender_total_count_geo20,2333.0,,tract
11001008410,2019,gender_total_count_geo20,1632.0,,tract
11001008701,2019,gender_total_count_geo20,2539.0,,tract
11001008702,2019,gender_total_count_geo20,3337.0,,tract
11001008802,2019,gender_total_count_geo20,4419.0,,tract
11001008803,2019,gender_total_count_geo20,3312.0,,tract
11001008804,2019,gender_total_count_geo20,2648.0,,tract
11001009000,2019,gender_total_count_geo20,3798.0,,tract
11001009102,2019,gender_total_count_geo20,4821.0,,tract
11001009203,2019,gender_total_count_geo20,3031.0,,tract
11001009204,2019,gender_total_count_geo20,2895.0,,tract
11001009302,2019,gender_total_count_geo20,1565.0,,tract
11001009400,2019,gender_total_count_geo20,5135.0,,tract
11001009503,2019,gender_total_count_geo20,3182.0,,tract
11001009507,2019,gender_total_count_geo20,1991.0,,tract
11001009509,2019,gender_total_count_geo20,3412.0,,tract
11001009601,2019,gender_total_count_geo20,2352.0,,tract
11001009603,2019,gender_total_count_geo20,3969.0,,tract
11001009700,2019,gender_total_count_geo20,3271.0,,tract
11001009801,2019,gender_total_count_geo20,2196.0,,tract
11001009802,2019,gender_total_count_geo20,2071.0,,tract
11001009803,2019,gender_total_count_geo20,3070.0,,tract
11001009804,2019,gender_total_count_geo20,2787.0,,tract
11001009807,2019,gender_total_count_geo20,3388.0,,tract
11001009810,2019,gender_total_count_geo20,2828.0,,tract
11001009811,2019,gender_total_count_geo20,4633.0,,tract
11001009901,2019,gender_total_count_geo20,2777.0,,tract
11001009902,2019,gender_total_count_geo20,3202.0,,tract
11001009903,2019,gender_total_count_geo20,2244.0,,tract
11001009904,2019,gender_total_count_geo20,3121.0,,tract
11001009905,2019,gender_total_count_geo20,2793.0,,tract
11001009906,2019,gender_total_count_geo20,1550.0,,tract
11001009907,2019,gender_total_count_geo20,2675.0,,tract
11001010300,2019,gender_total_count_geo20,4162.0,,tract
11001010500,2019,gender_total_count_geo20,3921.0,,tract
11001010601,2019,gender_total_count_geo20,8925.0,,tract
11001010602,2019,gender_total_count_geo20,8925.0,,tract
11001010603,2019,gender_total_count_geo20,8925.0,,tract
11001010700,2019,gender_total_count_geo20,1768.0,,tract
11001010800,2019,gender_total_count_geo20,6460.0,,tract
11001010900,2019,gender_total_count_geo20,3779.0,,tract
11001011001,2019,gender_total_count_geo20,4099.0,,tract
11001011002,2019,gender_total_count_geo20,4099.0,,tract
11001011100,2019,gender_total_count_geo20,5700.0,,tract
24001000100,2019,gender_total_count_geo20,3581.0,,tract
24001000700,2019,gender_total_count_geo20,3354.0,,tract
24001000800,2019,gender_total_count_geo20,1992.0,,tract
24001001503,2019,gender_total_count_geo20,1824.0,,tract
24001001700,2019,gender_total_count_geo20,4526.0,,tract
24003701103,2019,gender_total_count_geo20,7549.0,,tract
24003701104,2019,gender_total_count_geo20,7549.0,,tract
24003701201,2019,gender_total_count_geo20,8031.0,,tract
24003701202,2019,gender_total_count_geo20,8031.0,,tract
24003701301,2019,gender_total_count_geo20,8019.0,,tract
24003701302,2019,gender_total_count_geo20,8019.0,,tract
24003702100,2019,gender_total_count_geo20,6551.0,,tract
24003702205,2019,gender_total_count_geo20,5522.0,,tract
24003702206,2019,gender_total_count_geo20,7300.0,,tract
24003702402,2019,gender_total_count_geo20,7050.0,,tract
24003702601,2019,gender_total_count_geo20,5407.0,,tract
24003702702,2019,gender_total_count_geo20,3533.0,,tract
24003702703,2019,gender_total_count_geo20,4777.0,,tract
24003702704,2019,gender_total_count_geo20,4777.0,,tract
24003706302,2019,gender_total_count_geo20,3211.0,,tract
24003706402,2019,gender_total_count_geo20,3592.0,,tract
24003730300,2019,gender_total_count_geo20,3706.0,,tract
24003730401,2019,gender_total_count_geo20,5535.0,,tract
24003730603,2019,gender_total_count_geo20,3102.0,,tract
24003730605,2019,gender_total_count_geo20,7452.0,,tract
24003730606,2019,gender_total_count_geo20,7452.0,,tract
24003730701,2019,gender_total_count_geo20,6914.0,,tract
24003730702,2019,gender_total_count_geo20,6914.0,,tract
24003730901,2019,gender_total_count_geo20,2723.0,,tract
24003730902,2019,gender_total_count_geo20,3664.0,,tract
24003731002,2019,gender_total_count_geo20,3457.0,,tract
24003731003,2019,gender_total_count_geo20,4239.0,,tract
24003731103,2019,gender_total_count_geo20,5771.0,,tract
24003731205,2019,gender_total_count_geo20,8352.0,,tract
24003731206,2019,gender_total_count_geo20,8352.0,,tract
24003731303,2019,gender_total_count_geo20,6520.0,,tract
24003731306,2019,gender_total_count_geo20,6185.0,,tract
24003731308,2019,gender_total_count_geo20,3874.0,,tract
24003731312,2019,gender_total_count_geo20,7792.0,,tract
24003731313,2019,gender_total_count_geo20,7792.0,,tract
24003740105,2019,gender_total_count_geo20,3620.0,,tract
24003740204,2019,gender_total_count_geo20,7228.0,,tract
24003740205,2019,gender_total_count_geo20,7228.0,,tract
24003740303,2019,gender_total_count_geo20,4237.0,,tract
24003740800,2019,gender_total_count_geo20,4810.0,,tract
24003750201,2019,gender_total_count_geo20,3395.0,,tract
24003750300,2019,gender_total_count_geo20,2873.0,,tract
24003750900,2019,gender_total_count_geo20,2964.0,,tract
24003751103,2019,gender_total_count_geo20,5419.0,,tract
24003751600,2019,gender_total_count_geo20,5297.0,,tract
24003751700,2019,gender_total_count_geo20,2767.0,,tract
24005400100,2019,gender_total_count_geo20,4835.0,,tract
24005400200,2019,gender_total_count_geo20,2423.0,,tract
24005400400,2019,gender_total_count_geo20,5738.0,,tract
24005400500,2019,gender_total_count_geo20,2609.0,,tract
24005400600,2019,gender_total_count_geo20,3075.0,,tract
24005400701,2019,gender_total_count_geo20,2815.0,,tract
24005400702,2019,gender_total_count_geo20,2017.0,,tract
24005400800,2019,gender_total_count_geo20,2746.0,,tract
24005400900,2019,gender_total_count_geo20,1953.0,,tract
24005401000,2019,gender_total_count_geo20,2371.0,,tract
24005401101,2019,gender_total_count_geo20,5939.0,,tract
24005401102,2019,gender_total_count_geo20,898.0,,tract
24005401200,2019,gender_total_count_geo20,3142.0,,tract
24005401400,2019,gender_total_count_geo20,1637.0,,tract
24005401503,2019,gender_total_count_geo20,6297.0,,tract
24005401504,2019,gender_total_count_geo20,6640.0,,tract
24005401505,2019,gender_total_count_geo20,4290.0,,tract
24005401506,2019,gender_total_count_geo20,5053.0,,tract
24005401507,2019,gender_total_count_geo20,6427.0,,tract
24005402201,2019,gender_total_count_geo20,3526.0,,tract
24005402202,2019,gender_total_count_geo20,1582.0,,tract
24005402302,2019,gender_total_count_geo20,5522.0,,tract
24005402303,2019,gender_total_count_geo20,6799.0,,tract
24005402304,2019,gender_total_count_geo20,3728.0,,tract
24005402305,2019,gender_total_count_geo20,2053.0,,tract
24005402306,2019,gender_total_count_geo20,4068.0,,tract
24005402307,2019,gender_total_count_geo20,6370.0,,tract
24005402403,2019,gender_total_count_geo20,2023.0,,tract
24005402404,2019,gender_total_count_geo20,4953.0,,tract
24005402405,2019,gender_total_count_geo20,3925.0,,tract
24005402503,2019,gender_total_count_geo20,4986.0,,tract
24005402504,2019,gender_total_count_geo20,5006.0,,tract
24005402505,2019,gender_total_count_geo20,3627.0,,tract
24005402506,2019,gender_total_count_geo20,4619.0,,tract
24005402602,2019,gender_total_count_geo20,2197.0,,tract
24005402603,2019,gender_total_count_geo20,6490.0,,tract
24005402604,2019,gender_total_count_geo20,6400.0,,tract
24005403100,2019,gender_total_count_geo20,2459.0,,tract
24005403201,2019,gender_total_count_geo20,3170.0,,tract
24005403202,2019,gender_total_count_geo20,2256.0,,tract
24005403300,2019,gender_total_count_geo20,2406.0,,tract
24005403401,2019,gender_total_count_geo20,3533.0,,tract
24005403402,2019,gender_total_count_geo20,5392.0,,tract
24005403500,2019,gender_total_count_geo20,5185.0,,tract
24005403601,2019,gender_total_count_geo20,4884.0,,tract
24005403602,2019,gender_total_count_geo20,5677.0,,tract
24005403702,2019,gender_total_count_geo20,4827.0,,tract
24005403703,2019,gender_total_count_geo20,6971.0,,tract
24005403704,2019,gender_total_count_geo20,6971.0,,tract
24005403801,2019,gender_total_count_geo20,1655.0,,tract
24005403802,2019,gender_total_count_geo20,2825.0,,tract
24005403803,2019,gender_total_count_geo20,3445.0,,tract
24005404101,2019,gender_total_count_geo20,6330.0,,tract
24005404102,2019,gender_total_count_geo20,6235.0,,tract
24005404201,2019,gender_total_count_geo20,6133.0,,tract
24005404202,2019,gender_total_count_geo20,8684.0,,tract
24005404402,2019,gender_total_count_geo20,6416.0,,tract
24005404403,2019,gender_total_count_geo20,5162.0,,tract
24005404404,2019,gender_total_count_geo20,4934.0,,tract
24005404501,2019,gender_total_count_geo20,6947.0,,tract
24005404502,2019,gender_total_count_geo20,3831.0,,tract
24005404600,2019,gender_total_count_geo20,2668.0,,tract
24005404800,2019,gender_total_count_geo20,2034.0,,tract
24005404900,2019,gender_total_count_geo20,4550.0,,tract
24005405000,2019,gender_total_count_geo20,4398.0,,tract
24005406000,2019,gender_total_count_geo20,5846.0,,tract
24005407001,2019,gender_total_count_geo20,3067.0,,tract
24005407002,2019,gender_total_count_geo20,5577.0,,tract
24005408100,2019,gender_total_count_geo20,5686.0,,tract
24005408200,2019,gender_total_count_geo20,1850.0,,tract
24005408302,2019,gender_total_count_geo20,2768.0,,tract
24005408303,2019,gender_total_count_geo20,3270.0,,tract
24005408304,2019,gender_total_count_geo20,4909.0,,tract
24005408400,2019,gender_total_count_geo20,1074.0,,tract
24005408502,2019,gender_total_count_geo20,5364.0,,tract
24005408505,2019,gender_total_count_geo20,3778.0,,tract
24005408506,2019,gender_total_count_geo20,4820.0,,tract
24005408601,2019,gender_total_count_geo20,4102.0,,tract
24005408602,2019,gender_total_count_geo20,2106.0,,tract
24005408702,2019,gender_total_count_geo20,2326.0,,tract
24005408703,2019,gender_total_count_geo20,6523.0,,tract
24005408704,2019,gender_total_count_geo20,5720.0,,tract
24005408800,2019,gender_total_count_geo20,2489.0,,tract
24005408900,2019,gender_total_count_geo20,2495.0,,tract
24005410100,2019,gender_total_count_geo20,5693.0,,tract
24005410200,2019,gender_total_count_geo20,4844.0,,tract
24005411101,2019,gender_total_count_geo20,2128.0,,tract
24005411102,2019,gender_total_count_geo20,3201.0,,tract
24005411201,2019,gender_total_count_geo20,3176.0,,tract
24005411202,2019,gender_total_count_geo20,3927.0,,tract
24005411303,2019,gender_total_count_geo20,6400.0,,tract
24005411306,2019,gender_total_count_geo20,5281.0,,tract
24005411308,2019,gender_total_count_geo20,3440.0,,tract
24005411309,2019,gender_total_count_geo20,8788.0,,tract
24005411404,2019,gender_total_count_geo20,3720.0,,tract
24005411406,2019,gender_total_count_geo20,4175.0,,tract
24005411408,2019,gender_total_count_geo20,3824.0,,tract
24005411409,2019,gender_total_count_geo20,5070.0,,tract
24005411410,2019,gender_total_count_geo20,4514.0,,tract
24005411411,2019,gender_total_count_geo20,11332.0,,tract
24005411412,2019,gender_total_count_geo20,11332.0,,tract
24005411413,2019,gender_total_count_geo20,11332.0,,tract
24005420100,2019,gender_total_count_geo20,3827.0,,tract
24005420200,2019,gender_total_count_geo20,3017.0,,tract
24005420301,2019,gender_total_count_geo20,2296.0,,tract
24005420302,2019,gender_total_count_geo20,2462.0,,tract
24005420303,2019,gender_total_count_geo20,1272.0,,tract
24005420401,2019,gender_total_count_geo20,6894.0,,tract
24005420402,2019,gender_total_count_geo20,1944.0,,tract
24005420701,2019,gender_total_count_geo20,2975.0,,tract
24005420800,2019,gender_total_count_geo20,3046.0,,tract
24005420900,2019,gender_total_count_geo20,3441.0,,tract
24005421000,2019,gender_total_count_geo20,1973.0,,tract
24005421101,2019,gender_total_count_geo20,2740.0,,tract
24005421102,2019,gender_total_count_geo20,2666.0,,tract
24005421200,2019,gender_total_count_geo20,1827.0,,tract
24005430101,2019,gender_total_count_geo20,5025.0,,tract
24005430104,2019,gender_total_count_geo20,2919.0,,tract
24005430200,2019,gender_total_count_geo20,2795.0,,tract
24005430300,2019,gender_total_count_geo20,5682.0,,tract
24005430400,2019,gender_total_count_geo20,4196.0,,tract
24005430800,2019,gender_total_count_geo20,3509.0,,tract
24005430900,2019,gender_total_count_geo20,4165.0,,tract
24005440200,2019,gender_total_count_geo20,2379.0,,tract
24005440701,2019,gender_total_count_geo20,6712.0,,tract
24005440800,2019,gender_total_count_geo20,3340.0,,tract
24005440900,2019,gender_total_count_geo20,4014.0,,tract
24005441000,2019,gender_total_count_geo20,3980.0,,tract
24005441101,2019,gender_total_count_geo20,2305.0,,tract
24005441102,2019,gender_total_count_geo20,4965.0,,tract
24005450200,2019,gender_total_count_geo20,3196.0,,tract
24005450300,2019,gender_total_count_geo20,3213.0,,tract
24005450400,2019,gender_total_count_geo20,2297.0,,tract
24005450800,2019,gender_total_count_geo20,4211.0,,tract
24005450900,2019,gender_total_count_geo20,4268.0,,tract
24005451000,2019,gender_total_count_geo20,1672.0,,tract
24005451100,2019,gender_total_count_geo20,2291.0,,tract
24005451200,2019,gender_total_count_geo20,3875.0,,tract
24005451300,2019,gender_total_count_geo20,3754.0,,tract
24005451401,2019,gender_total_count_geo20,4086.0,,tract
24005451402,2019,gender_total_count_geo20,4869.0,,tract
24005451500,2019,gender_total_count_geo20,3981.0,,tract
24005451600,2019,gender_total_count_geo20,1964.0,,tract
24005451702,2019,gender_total_count_geo20,1883.0,,tract
24005451801,2019,gender_total_count_geo20,6246.0,,tract
24005451802,2019,gender_total_count_geo20,3818.0,,tract
24005451803,2019,gender_total_count_geo20,4432.0,,tract
24005451900,2019,gender_total_count_geo20,2591.0,,tract
24005452000,2019,gender_total_count_geo20,2584.0,,tract
24005452100,2019,gender_total_count_geo20,3221.0,,tract
24005452400,2019,gender_total_count_geo20,3366.0,,tract
24005452500,2019,gender_total_count_geo20,3909.0,,tract
24005490100,2019,gender_total_count_geo20,3810.0,,tract
24005490200,2019,gender_total_count_geo20,2824.0,,tract
24005490302,2019,gender_total_count_geo20,4651.0,,tract
24005490303,2019,gender_total_count_geo20,7522.0,,tract
24005490304,2019,gender_total_count_geo20,7522.0,,tract
24005490400,2019,gender_total_count_geo20,1777.0,,tract
24005490500,2019,gender_total_count_geo20,3575.0,,tract
24005490601,2019,gender_total_count_geo20,2163.0,,tract
24005490602,2019,gender_total_count_geo20,2958.0,,tract
24005490603,2019,gender_total_count_geo20,2329.0,,tract
24005490605,2019,gender_total_count_geo20,5123.0,,tract
24005490701,2019,gender_total_count_geo20,1632.0,,tract
24005490703,2019,gender_total_count_geo20,3028.0,,tract
24005490800,2019,gender_total_count_geo20,3273.0,,tract
24005491000,2019,gender_total_count_geo20,2320.0,,tract
24005491100,2019,gender_total_count_geo20,3959.0,,tract
24005491401,2019,gender_total_count_geo20,5471.0,,tract
24005491402,2019,gender_total_count_geo20,3087.0,,tract
24005491500,2019,gender_total_count_geo20,4322.0,,tract
24005491600,2019,gender_total_count_geo20,3275.0,,tract
24005491701,2019,gender_total_count_geo20,3958.0,,tract
24005491900,2019,gender_total_count_geo20,1841.0,,tract
24005492001,2019,gender_total_count_geo20,1272.0,,tract
24005492002,2019,gender_total_count_geo20,3746.0,,tract
24005492101,2019,gender_total_count_geo20,3766.0,,tract
24005492102,2019,gender_total_count_geo20,2038.0,,tract
24005492300,2019,gender_total_count_geo20,3849.0,,tract
24005492401,2019,gender_total_count_geo20,3771.0,,tract
24005492500,2019,gender_total_count_geo20,3031.0,,tract
24005980100,2019,gender_total_count_geo20,0.0,,tract
24005980200,2019,gender_total_count_geo20,0.0,,tract
24009860200,2019,gender_total_count_geo20,6138.0,,tract
24009860300,2019,gender_total_count_geo20,4614.0,,tract
24009860402,2019,gender_total_count_geo20,3599.0,,tract
24009860403,2019,gender_total_count_geo20,10328.0,,tract
24009860404,2019,gender_total_count_geo20,10328.0,,tract
24009860502,2019,gender_total_count_geo20,3087.0,,tract
24009860701,2019,gender_total_count_geo20,3055.0,,tract
24009860702,2019,gender_total_count_geo20,3256.0,,tract
24009860703,2019,gender_total_count_geo20,4011.0,,tract
24009860801,2019,gender_total_count_geo20,6900.0,,tract
24011955000,2019,gender_total_count_geo20,3292.0,,tract
24011955100,2019,gender_total_count_geo20,6128.0,,tract
24011955302,2019,gender_total_count_geo20,3167.0,,tract
24011955500,2019,gender_total_count_geo20,3683.0,,tract
24011955600,2019,gender_total_count_geo20,4369.0,,tract
24013504202,2019,gender_total_count_geo20,6581.0,,tract
24013506102,2019,gender_total_count_geo20,4180.0,,tract
24013509001,2019,gender_total_count_geo20,4589.0,,tract
24013509002,2019,gender_total_count_geo20,2841.0,,tract
24013510000,2019,gender_total_count_geo20,1431.0,,tract
24013512000,2019,gender_total_count_geo20,1445.0,,tract
24013514201,2019,gender_total_count_geo20,5054.0,,tract
24013514202,2019,gender_total_count_geo20,3358.0,,tract
24015030100,2019,gender_total_count_geo20,4720.0,,tract
24015030200,2019,gender_total_count_geo20,5241.0,,tract
24015030400,2019,gender_total_count_geo20,5243.0,,tract
24015030501,2019,gender_total_count_geo20,4287.0,,tract
24015030505,2019,gender_total_count_geo20,4300.0,,tract
24015030507,2019,gender_total_count_geo20,8418.0,,tract
24015030508,2019,gender_total_count_geo20,8418.0,,tract
24015030601,2019,gender_total_count_geo20,3812.0,,tract
24015030602,2019,gender_total_count_geo20,5307.0,,tract
24015030903,2019,gender_total_count_geo20,5060.0,,tract
24015031202,2019,gender_total_count_geo20,5526.0,,tract
24015031302,2019,gender_total_count_geo20,6782.0,,tract
24015031400,2019,gender_total_count_geo20,3886.0,,tract
24017850101,2019,gender_total_count_geo20,5996.0,,tract
24017850201,2019,gender_total_count_geo20,1039.0,,tract
24017850202,2019,gender_total_count_geo20,4822.0,,tract
24017850300,2019,gender_total_count_geo20,1895.0,,tract
24017850400,2019,gender_total_count_geo20,3468.0,,tract
24017850500,2019,gender_total_count_geo20,2905.0,,tract
24017850600,2019,gender_total_count_geo20,4915.0,,tract
24017850706,2019,gender_total_count_geo20,5606.0,,tract
24017850711,2019,gender_total_count_geo20,5287.0,,tract
24017850801,2019,gender_total_count_geo20,4935.0,,tract
24017850802,2019,gender_total_count_geo20,5527.0,,tract
24017850901,2019,gender_total_count_geo20,5230.0,,tract
24017850905,2019,gender_total_count_geo20,4426.0,,tract
24017850906,2019,gender_total_count_geo20,4407.0,,tract
24017851100,2019,gender_total_count_geo20,3080.0,,tract
24017851200,2019,gender_total_count_geo20,4813.0,,tract
24017851301,2019,gender_total_count_geo20,5385.0,,tract
24017851302,2019,gender_total_count_geo20,4805.0,,tract
24017851401,2019,gender_total_count_geo20,8492.0,,tract
24017851402,2019,gender_total_count_geo20,8492.0,,tract
24017851403,2019,gender_total_count_geo20,8492.0,,tract
24019970200,2019,gender_total_count_geo20,5687.0,,tract
24019970400,2019,gender_total_count_geo20,3612.0,,tract
24019970600,2019,gender_total_count_geo20,4591.0,,tract
24019970900,2019,gender_total_count_geo20,1215.0,,tract
24021740200,2019,gender_total_count_geo20,4949.0,,tract
24021750100,2019,gender_total_count_geo20,1454.0,,tract
24021750200,2019,gender_total_count_geo20,1650.0,,tract
24021750300,2019,gender_total_count_geo20,1713.0,,tract
24021750701,2019,gender_total_count_geo20,5438.0,,tract
24021750801,2019,gender_total_count_geo20,2906.0,,tract
24021750802,2019,gender_total_count_geo20,5815.0,,tract
24021750804,2019,gender_total_count_geo20,6099.0,,tract
24021750805,2019,gender_total_count_geo20,6099.0,,tract
24021751001,2019,gender_total_count_geo20,1185.0,,tract
24021751202,2019,gender_total_count_geo20,6537.0,,tract
24021751301,2019,gender_total_count_geo20,4448.0,,tract
24021751302,2019,gender_total_count_geo20,3081.0,,tract
24021751600,2019,gender_total_count_geo20,3037.0,,tract
24021751701,2019,gender_total_count_geo20,2396.0,,tract
24021751801,2019,gender_total_count_geo20,4972.0,,tract
24021751902,2019,gender_total_count_geo20,5876.0,,tract
24021751903,2019,gender_total_count_geo20,5960.0,,tract
24021751904,2019,gender_total_count_geo20,3408.0,,tract
24021751905,2019,gender_total_count_geo20,4481.0,,tract
24021751906,2019,gender_total_count_geo20,4481.0,,tract
24021752001,2019,gender_total_count_geo20,5001.0,,tract
24021752101,2019,gender_total_count_geo20,3442.0,,tract
24021752102,2019,gender_total_count_geo20,4971.0,,tract
24021752201,2019,gender_total_count_geo20,2177.0,,tract
24021752202,2019,gender_total_count_geo20,4693.0,,tract
24021752205,2019,gender_total_count_geo20,8605.0,,tract
24021752206,2019,gender_total_count_geo20,8605.0,,tract
24021752303,2019,gender_total_count_geo20,3392.0,,tract
24021752501,2019,gender_total_count_geo20,5216.0,,tract
24021752502,2019,gender_total_count_geo20,2497.0,,tract
24021752602,2019,gender_total_count_geo20,2883.0,,tract
24021752603,2019,gender_total_count_geo20,3791.0,,tract
24021752801,2019,gender_total_count_geo20,2129.0,,tract
24021752802,2019,gender_total_count_geo20,3656.0,,tract
24021753002,2019,gender_total_count_geo20,2972.0,,tract
24021766800,2019,gender_total_count_geo20,5849.0,,tract
24021767500,2019,gender_total_count_geo20,2521.0,,tract
24021767600,2019,gender_total_count_geo20,2952.0,,tract
24021773500,2019,gender_total_count_geo20,4534.0,,tract
24021775302,2019,gender_total_count_geo20,4703.0,,tract
24021775400,2019,gender_total_count_geo20,3581.0,,tract
24023000601,2019,gender_total_count_geo20,5717.0,,tract
24023000602,2019,gender_total_count_geo20,5717.0,,tract
24023000700,2019,gender_total_count_geo20,5756.0,,tract
24025301105,2019,gender_total_count_geo20,3727.0,,tract
24025301106,2019,gender_total_count_geo20,4286.0,,tract
24025301108,2019,gender_total_count_geo20,3272.0,,tract
24025301201,2019,gender_total_count_geo20,2005.0,,tract
24025301202,2019,gender_total_count_geo20,7208.0,,tract
24025301205,2019,gender_total_count_geo20,4221.0,,tract
24025301601,2019,gender_total_count_geo20,6110.0,,tract
24025301602,2019,gender_total_count_geo20,8443.0,,tract
24025302100,2019,gender_total_count_geo20,2146.0,,tract
24025302200,2019,gender_total_count_geo20,3223.0,,tract
24025302801,2019,gender_total_count_geo20,3523.0,,tract
24025302802,2019,gender_total_count_geo20,4793.0,,tract
24025303101,2019,gender_total_count_geo20,6037.0,,tract
24025303102,2019,gender_total_count_geo20,2689.0,,tract
24025303203,2019,gender_total_count_geo20,3626.0,,tract
24025303204,2019,gender_total_count_geo20,4473.0,,tract
24025303400,2019,gender_total_count_geo20,4657.0,,tract
24025303501,2019,gender_total_count_geo20,6828.0,,tract
24025303605,2019,gender_total_count_geo20,6210.0,,tract
24025303606,2019,gender_total_count_geo20,3327.0,,tract
24025303700,2019,gender_total_count_geo20,3818.0,,tract
24025303801,2019,gender_total_count_geo20,2656.0,,tract
24025303802,2019,gender_total_count_geo20,2182.0,,tract
24025303803,2019,gender_total_count_geo20,4789.0,,tract
24025303900,2019,gender_total_count_geo20,2397.0,,tract
24025304101,2019,gender_total_count_geo20,4548.0,,tract
24025304102,2019,gender_total_count_geo20,4046.0,,tract
24025304201,2019,gender_total_count_geo20,6675.0,,tract
24025304202,2019,gender_total_count_geo20,6936.0,,tract
24025305100,2019,gender_total_count_geo20,7622.0,,tract
24025305200,2019,gender_total_count_geo20,2888.0,,tract
24025305300,2019,gender_total_count_geo20,1975.0,,tract
24025306100,2019,gender_total_count_geo20,4190.0,,tract
24025306200,2019,gender_total_count_geo20,2057.0,,tract
24027601107,2019,gender_total_count_geo20,5434.0,,tract
24027602100,2019,gender_total_count_geo20,8089.0,,tract
24027602201,2019,gender_total_count_geo20,3493.0,,tract
24027602303,2019,gender_total_count_geo20,3822.0,,tract
24027602304,2019,gender_total_count_geo20,5097.0,,tract
24027602305,2019,gender_total_count_geo20,3979.0,,tract
24027602700,2019,gender_total_count_geo20,5806.0,,tract
24027603001,2019,gender_total_count_geo20,6484.0,,tract
24027603003,2019,gender_total_count_geo20,4089.0,,tract
24027603004,2019,gender_total_count_geo20,7056.0,,tract
24027604001,2019,gender_total_count_geo20,6375.0,,tract
